Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Sofoklis Schortsanitis,LAC,2003,2,34,18.008,C,,,,,,,,,,42,42,42,-2.7
Szymon Szewczyk,MIL,2003,2,35,20.192,F-C,,,,,,,,,,43,43,43,-1.8
Mario Austin,CHI,2003,2,36,21.125,F-C,Mississippi State University,,,,,,,,,44,44,44,0.0
Travis Hansen,ATL,2003,2,37,25.078,G,Brigham Young University,2004,2004,41,0.2,0.019,-5.0,-0.4,507,45,45,45,0
Steve Blake,WAS,2003,2,38,23.126,G,University of Maryland,2004,2016,870,29.1,0.067,-1.8,1.3,20823,24,25,23,7.2
Slavko Vranes,NYK,2003,2,39,20.152,C,,2004,2004,1,0.0,-0.371,-21.4,0.0,3,46,46,46,0
Derrick Zimmerman,GSW,2003,2,40,21.211,G,Mississippi State University,2006,2006,2,0.0,0.004,-9.7,-0.1,32,47,47,47,0
Willie Green,SEA,2003,2,41,21.338,G,University of Detroit Mercy,2004,2015,731,12.9,0.042,-3.6,-5.9,14783,34,33,36,0.0
Zaza Pachulia,ORL,2003,2,42,19.141,C,,2004,2016,891,42.4,0.106,-0.6,6.9,19122,17,11,16,12.8
Keith Bogans,MIL,2003,2,43,23.050,G-F,University of Kentucky,2004,2014,671,20.4,0.068,-0.8,4.5,14527,19,23,18,10.4
Malick Badiane,HOU,2003,2,44,,,,,,,,,,,,48,48,48,0
Matt Bonner,CHI,2003,2,45,23.087,F,University of Florida,2005,2016,792,38.5,0.138,1.0,10.1,13356,6,5,11,16.0
Sani Becirovic,DEN,2003,2,46,22.043,G,,,,,,,,,,49,49,49,0
Mo Williams,UTA,2003,2,47,20.194,G,University of Alabama,2004,2016,818,40.0,0.080,-0.5,8.9,23872,15,19,12,14.8
James Lang,NOH,2003,2,48,19.257,C,,2007,2007,11,0.1,0.047,-4.0,0.0,55,50,50,50,0
James Jones,IND,2003,2,49,22.270,F-G,University of Miami,2004,2016,661,24.3,0.109,-0.5,4.0,10717,16,10,19,9.9
Paccelis Morlende,PHI,2003,2,50,22.073,G,,,,,,,,,,51,51,51,0
Kyle Korver,NJN,2003,2,51,22.106,G-F,Creighton University,2004,2016,964,61.6,0.116,1.0,19.4,25562,7,8,7,25.3
Remon Van de Hare,TOR,2003,2,52,,,,,,,,,,,,52,52,52,0
Tommy Smith,CHI,2003,2,53,,,Arizona State University,,,,,,,,,53,53,53,0
Nedzad Sinanovic,POR,2003,2,54,20.153,C,,,,,,,,,,54,54,54,0
Rick Rickert,MIN,2003,2,55,,,University of Minnesota,,,,,,,,,55,55,55,0
Brandon Hunter,BOS,2003,2,56,22.219,F,Ohio University,2004,2005,67,0.7,0.055,-5.4,-0.5,630,56,56,56,0
Xue Yuyang,DAL,2003,2,57,20.239,F-C,,,,,,,,,,57,57,57,0
Andreas Glyniadakis,DET,2003,2,58,21.314,C,,2007,2007,13,-0.2,-0.143,-12.1,-0.2,81,58,58,58,0
Dwight Howard,ORL,2004,1,1,18.203,C-F,,2005,2016,880,113.2,0.175,2.7,36.5,31092,2,1,2,-4.0
Emeka Okafor,CHA,2004,1,2,21.275,C-F,University of Connecticut,2005,2013,590,44.3,0.114,-0.4,7.5,18702,17,9,16,-29.0
Ben Gordon,CHI,2004,1,3,21.087,G,University of Connecticut,2005,2015,744,33.3,0.078,-1.1,4.7,20366,19,22,18,-25.3
Shaun Livingston,LAC,2004,1,4,18.291,G,,2005,2016,622,23.5,0.082,-1.5,1.9,13747,20,20,22,-20.8
Devin Harris,WAS,2004,1,5,21.123,G,University of Wisconsin,2005,2016,781,48.7,0.114,0.6,13.3,20465,10,10,8,-7.5
Josh Childress,ATL,2004,1,6,21.010,G-F,Stanford University,2005,2014,391,25.7,0.118,1.3,8.6,10432,6,8,13,-6.5
Luol Deng,PHO,2004,1,7,19.074,F,Duke University,2005,2016,823,72.3,0.119,1.1,22.7,29050,8,7,4,8.4
Rafael Araujo,TOR,2004,1,8,23.322,C,Brigham Young University,2005,2007,139,-0.4,-0.013,-6.4,-1.8,1585,33,33,31,-15.1
Andre Iguodala,PHI,2004,1,9,20.153,G-F,University of Arizona,2005,2016,900,82.0,0.124,3.0,40.5,31836,1,6,1,27.2
Luke Jackson,CLE,2004,1,10,22.236,F,University of Oregon,2005,2008,73,0.2,0.010,-4.4,-0.4,724,34,34,34,-19.0
Andris Biedrins,GSW,2004,1,11,18.088,C,,2005,2014,516,30.7,0.132,1.1,8.6,11146,9,4,14,-4.0
Robert Swift,SEA,2004,1,12,18.208,C,,2005,2009,97,1.7,0.054,-4.1,-0.8,1500,31,26,28,-12.1
Sebastian Telfair,POR,2004,1,13,19.020,G,,2005,2015,564,5.0,0.020,-3.9,-5.8,12149,29,30,33,-14.4
Kris Humphries,UTA,2004,1,14,19.143,F,University of Minnesota,2005,2016,744,28.6,0.101,-1.9,0.2,13543,24,12,23,-8.4
Al Jefferson,BOS,2004,1,15,19.176,C-F,,2005,2016,813,67.1,0.129,0.4,15.1,24884,13,5,6,7.5
Kirk Snyder,UTA,2004,1,16,21.025,G,University of Nevada Reno,2005,2008,211,4.5,0.061,-2.0,0.0,3540,25,24,25,-7.5
Josh Smith,ATL,2004,1,17,18.206,F,,2005,2016,891,51.0,0.085,2.1,30.0,28988,3,19,3,22.6
J.R. Smith,NOH,2004,1,18,18.293,G-F,,2005,2016,839,44.3,0.094,0.5,14.3,22543,11,17,7,9.6
Dorell Wright,MIA,2004,1,19,18.209,F-G,,2005,2015,549,25.9,0.101,0.4,7.4,12280,14,13,17,5.2
Jameer Nelson,DEN,2004,1,20,22.141,G,Saint Joseph's University,2005,2016,753,44.9,0.100,0.4,13.2,21481,15,14,10,11.1
Pavel Podkolzin,UTA,2004,1,21,19.165,C,,2005,2006,6,-0.1,-0.163,-18.8,-0.1,28,35,35,35,-7.8
Viktor Khryapa,NJN,2004,1,22,21.331,F,,2005,2008,143,2.0,0.041,-1.8,0.1,2351,23,28,24,-1.8
Sergei Monia,POR,2004,1,23,21.076,F,,2006,2006,26,-0.2,-0.025,-5.1,-0.3,343,36,36,36,-6.0
Delonte West,BOS,2004,1,24,20.339,G,Saint Joseph's University,2005,2012,432,24.5,0.099,0.5,7.6,11842,12,15,15,7.5
Tony Allen,BOS,2004,1,25,22.170,G-F,Oklahoma State University,2005,2016,727,35.5,0.107,1.2,12.6,15868,7,11,11,12.6
Kevin Martin,SAC,2004,1,26,21.149,G,Western Carolina University,2005,2016,714,61.3,0.137,0.1,11.3,21559,16,3,12,11.3
Sasha Vujacic,LAL,2004,1,27,20.113,G,,2005,2016,539,15.9,0.090,-1.0,2.2,8500,18,18,19,2.7
Beno Udrih,SAS,2004,1,28,21.360,G,,2005,2016,792,30.1,0.082,-1.5,2.1,17625,21,21,20,2.9
David Harrison,IND,2004,1,29,21.319,C,University of Colorado,2005,2008,189,3.2,0.057,-3.4,-1.0,2686,27,25,29,0.0
Anderson Varejao,ORL,2004,2,30,21.275,F-C,,2005,2016,613,46.2,0.148,1.5,13.3,14959,5,2,9,14.7
Jackson Vroman,CHI,2004,2,31,23.024,F-C,Iowa State University,2005,2006,87,0.0,0.001,-3.9,-0.5,1111,30,32,27,1.3
Peter John Ramos,WAS,2004,2,32,19.047,C,,2005,2005,6,0.0,-0.108,-18.3,-0.1,20,37,37,37,-3.0
Lionel Chalmers,LAC,2004,2,33,23.232,G,Xavier University,2005,2005,36,-0.2,-0.025,-6.3,-0.5,433,38,38,38,0.0
Donta Smith,ATL,2004,2,34,20.215,G-F,Southeastern Illinois College,2005,2006,61,0.5,0.043,-3.2,-0.2,560,39,39,39,0
Andre Emmett,SEA,2004,2,35,21.307,F,Texas Tech University,2005,2012,14,0.1,0.040,-6.8,-0.1,73,40,40,40,0
Antonio Burks,ORL,2004,2,36,24.126,G,University of Memphis,2005,2006,81,0.1,0.004,-6.6,-0.9,789,41,41,41,0
Royal Ivey,ATL,2004,2,37,22.192,G,University of Texas at Austin,2005,2014,492,4.5,0.035,-3.8,-2.8,6162,28,29,32,3.0
Chris Duhon,CHI,2004,2,38,21.303,G,Duke University,2005,2013,606,25.0,0.077,-1.5,2.0,15526,22,23,21,7.8
Albert Miralles,TOR,2004,2,39,22.047,C,,,,,,,,,,42,42,42,0
Justin Reed,BOS,2004,2,40,22.165,F,University of Mississippi,2005,2007,136,0.5,0.016,-5.9,-1.4,1436,32,31,30,4.4
David Young,SEA,2004,2,41,,,North Carolina Central University,,,,,,,,,43,43,43,0
Viktor Sanikidze,ATL,2004,2,42,18.089,F,,,,,,,,,,44,44,44,0
Trevor Ariza,NYK,2004,2,43,18.364,F,University of California Los Angeles,2005,2016,795,46.1,0.097,1.6,20.8,22766,4,16,5,26.6
Tim Pickett,NOH,2004,2,44,,,Florida State University,,,,,,,,,45,45,45,0
Bernard Robinson,CHA,2004,2,45,23.186,G-F,University of Michigan,2005,2007,128,2.0,0.049,-2.0,0.0,1909,26,27,26,5.8
Ha Seung-Jin,POR,2004,2,46,18.329,C,,2005,2006,46,-0.2,-0.029,-8.3,-0.5,316,46,46,46,0
Pape Sow,MIA,2004,2,47,22.220,F,California State University Fullerton,2005,2007,76,0.8,0.044,-4.8,-0.6,879,47,47,47,0
Ricky Minard,SAC,2004,2,48,,,Morehead State University,,,,,,,,,48,48,48,0
Sergei Lishouk,MEM,2004,2,49,22.091,C-F,,,,,,,,,,49,49,49,0
Vassilis Spanoulis,DAL,2004,2,50,21.327,G,,2007,2007,31,-0.1,-0.010,-6.7,-0.3,272,50,50,50,0
Christian Drejer,NJN,2004,2,51,,,University of Florida,,,,,,,,,51,51,51,0
Romain Sato,SAS,2004,2,52,,,Xavier University,,,,,,,,,52,52,52,0
Matt Freije,MIA,2004,2,53,22.271,F,Vanderbilt University,2005,2007,42,-0.6,-0.047,-6.3,-0.6,588,53,53,53,0
Rickey Paulding,DET,2004,2,54,,,University of Missouri,,,,,,,,,54,54,54,0
Luis Flores,HOU,2004,2,55,23.080,G,Manhattan College,2005,2005,16,0.0,-0.020,-9.6,-0.1,77,55,55,55,0
Marcus Douthit,LAL,2004,2,56,,,Providence College,,,,,,,,,56,56,56,0
Sergei Karaulov,SAS,2004,2,57,22.076,C,,,,,,,,,,57,57,57,0
Blake Stepp,MIN,2004,2,58,,,Gonzaga University,,,,,,,,,58,58,58,0
Rashad Wright,IND,2004,2,59,,,University of Georgia,,,,,,,,,59,59,59,0
Andrew Bogut,MIL,2005,1,1,20.217,C,University of Utah,2006,2016,644,49.2,0.125,2.4,21.2,18929,3,10,3,-45.2
Marvin Williams,ATL,2005,1,2,19.014,F,University of North Carolina,2006,2016,785,48.9,0.104,-0.5,8.6,22596,20,16,11,-15.3
Deron Williams,UTA,2005,1,3,21.007,G,University of Illinois at Urbana-Champaign,2006,2016,781,74.9,0.132,1.5,23.9,27208,4,6,2,2.7
Chris Paul,NOH,2005,1,4,20.058,G,Wake Forest University,2006,2016,773,144.1,0.249,7.5,66.4,27725,1,1,1,46.1
Raymond Felton,CHA,2005,1,5,21.007,G,University of North Carolina,2006,2016,776,35.3,0.067,-0.4,10.0,25385,18,33,9,-7.4
Martell Webster,POR,2005,1,6,18.211,G-F,,2006,2015,580,24.7,0.085,-0.7,4.6,13914,21,23,20,-11.5
Charlie Villanueva,TOR,2005,1,7,20.313,F,University of Connecticut,2006,2016,656,22.6,0.080,-1.8,0.6,13578,27,25,26,-11.9
Channing Frye,NYK,2005,1,8,22.048,F-C,University of Arizona,2006,2016,727,33.7,0.093,0.0,8.6,17338,11,19,12,-2.7
Ike Diogu,GSW,2005,1,9,21.296,F,Arizona State University,2006,2012,225,6.5,0.112,-4.8,-2.0,2795,42,14,39,-12.0
Andrew Bynum,LAL,2005,1,10,17.249,C,,2006,2014,418,37.4,0.168,1.3,9.0,10690,7,2,10,0.0
Fran Vazquez,ORL,2005,1,11,22.064,,,,,,,,,,,44,44,44,-12.6
Yaroslav Korolev,LAC,2005,1,12,18.057,F,,2006,2007,34,-0.1,-0.024,-6.4,-0.2,168,45,45,45,-12.6
Sean May,CHA,2005,1,13,21.090,F,University of North Carolina,2006,2010,119,2.6,0.068,-2.4,-0.2,1868,32,32,31,-8.5
Rashad McCants,MIN,2005,1,14,20.281,G,University of North Carolina,2006,2009,249,3.6,0.035,-2.5,-0.6,5037,34,40,32,-8.4
Antoine Wright,NJN,2005,1,15,21.148,G-F,Texas A&amp;M University,2006,2011,297,3.1,0.026,-3.1,-1.5,5714,35,41,38,-7.8
Joey Graham,TOR,2005,1,16,23.023,F,Oklahoma State University,2006,2011,377,7.8,0.061,-3.8,-2.8,6117,39,37,41,-8.8
Danny Granger,IND,2005,1,17,22.075,F,University of New Mexico,2006,2015,586,48.5,0.126,1.5,16.1,18487,5,9,6,10.4
Gerald Green,BOS,2005,1,18,19.158,G-F,,2006,2016,497,13.9,0.066,-2.3,-0.7,10086,31,34,33,-6.1
Hakim Warrick,MEM,2005,1,19,22.361,F,Syracuse University,2006,2013,526,20.4,0.092,-3.1,-2.9,10624,36,20,42,-7.8
Julius Hodge,DEN,2005,1,20,21.228,G,North Carolina State University,2006,2007,23,0.0,0.003,-4.5,-0.1,98,46,46,46,-8.6
Nate Robinson,PHO,2005,1,21,21.033,G,University of Washington,2006,2016,618,27.8,0.096,0.2,7.8,13878,10,18,14,4.3
Jarrett Jack,DEN,2005,1,22,21.249,G,Georgia Institute of Technology,2006,2016,803,35.6,0.076,-1.0,5.7,22559,22,27,17,2.3
Francisco Garcia,SAC,2005,1,23,23.185,F-G,University of Louisville,2006,2015,549,18.2,0.074,-0.3,4.9,11853,15,28,19,1.7
Luther Head,HOU,2005,1,24,22.220,G,University of Illinois at Urbana-Champaign,2006,2011,348,14.7,0.090,-0.4,3.2,7797,19,21,23,0.1
Johan Petro,SEA,2005,1,25,19.157,C,,2006,2013,473,5.5,0.037,-4.2,-4.0,7262,41,39,43,-6.3
Jason Maxiell,DET,2005,1,26,22.136,F,University of Cincinnati,2006,2015,618,20.3,0.086,-2.0,0.1,11379,30,22,28,-0.5
Linas Kleiza,POR,2005,1,27,20.181,F,University of Missouri,2006,2013,409,13.6,0.080,-2.4,-0.9,8185,33,26,37,-1.1
Ian Mahinmi,SAS,2005,1,28,18.240,C,,2008,2016,438,20.0,0.131,-0.3,3.1,7347,16,7,24,3.0
Wayne Simien,MIA,2005,1,29,22.117,F,University of Kansas,2006,2007,51,0.9,0.083,-4.8,-0.4,507,47,47,47,-4.1
David Lee,NYK,2005,1,30,22.066,F,University of Florida,2006,2016,750,70.3,0.148,1.5,20.3,22816,6,4,4,20.3
Salim Stoudamire,ATL,2005,2,31,22.266,G,University of Arizona,2006,2008,157,2.2,0.040,-5.1,-2.1,2672,43,38,40,-1.9
Daniel Ewing,LAC,2005,2,32,22.100,G,Duke University,2006,2007,127,0.8,0.024,-3.7,-0.7,1683,38,42,34,-0.1
Brandon Bass,NOH,2005,2,33,20.064,F,Louisiana State University,2006,2016,706,40.6,0.123,-1.1,3.5,15833,24,11,21,4.2
C.J. Miles,UTA,2005,2,34,18.076,G-F,,2006,2016,639,22.4,0.082,-1.0,3.4,13152,23,24,22,4.1
Ricky Sanchez,POR,2005,2,35,,,,,,,,,,,,48,48,48,-3.3
Ersan Ilyasova,MIL,2005,2,36,18.049,F,,2007,2016,527,33.7,0.127,0.0,6.3,12721,12,8,15,7.0
Ronny Turiaf,LAL,2005,2,37,22.172,F,Gonzaga University,2006,2015,473,19.2,0.115,1.0,6.0,8020,8,13,16,6.9
Travis Diener,ORL,2005,2,38,23.125,G,Marquette University,2006,2010,179,5.6,0.102,-1.8,0.1,2660,28,17,29,1.6
Von Wafer,LAL,2005,2,39,19.347,G,Florida State University,2006,2012,200,3.3,0.064,-3.2,-0.7,2475,37,35,35,1.3
Monta Ellis,GSW,2005,2,40,19.250,G,,2006,2016,759,40.9,0.073,-0.2,12.5,27013,14,30,7,14.6
Roko Ukic,TOR,2005,2,41,21.052,G,,2009,2010,85,-0.2,-0.007,-5.4,-0.8,987,49,49,49,-1.2
Chris Taft,GSW,2005,2,42,20.115,F,University of Pittsburgh,2006,2006,17,0.5,0.155,-1.3,0.0,144,50,50,50,-1.1
Mile Ilic,NJN,2005,2,43,21.031,C,,2007,2007,5,-0.2,-1.264,-53.6,-0.1,6,51,51,51,0.0
Martynas Andriuskevicius,ORL,2005,2,44,19.113,C,,2006,2006,6,0.0,0.155,0.1,0.0,9,52,52,52,0
Louis Williams,PHI,2005,2,45,18.249,G,,2006,2016,701,41.5,0.121,0.0,8.3,16442,13,12,13,12.3
Erazem Lorbek,IND,2005,2,46,21.133,F,,,,,,,,,,53,53,53,0
Bracey Wright,MIN,2005,2,47,21.002,G,Indiana University,2006,2007,26,0.5,0.068,-3.7,-0.1,325,54,54,54,0
Mickael Gelabale,SEA,2005,2,48,22.043,F,,2007,2013,145,3.0,0.062,-1.9,0.0,2348,29,36,30,4.0
Andray Blatche,WAS,2005,2,49,18.315,F,,2006,2014,564,19.2,0.074,-0.3,5.4,12462,17,29,18,9.4
Ryan Gomes,BOS,2005,2,50,22.306,F,Providence College,2006,2014,487,19.4,0.069,-1.3,2.3,13463,25,31,25,6.3
Robert Whaley,UTA,2005,2,51,23.079,C,Walsh University,2006,2006,23,0.0,0.004,-3.5,-0.1,212,55,55,55,0
Axel Hervelle,DEN,2005,2,52,21.211,F,,,,,,,,,,56,56,56,0
Orien Greene,BOS,2005,2,53,23.150,G,University of Louisiana at Lafayette,2006,2011,131,-0.7,-0.022,-3.8,-0.7,1555,40,43,36,3.3
Dijon Thompson,NYK,2005,2,54,22.131,G-F,University of California Los Angeles,2006,2007,16,0.2,0.102,-4.3,-0.1,93,57,57,57,0
Lawrence Roberts,SEA,2005,2,55,22.257,F,Mississippi State University,2006,2007,87,2.5,0.106,-1.4,0.2,1150,26,15,27,4.2
Amir Johnson,DET,2005,2,56,18.063,F,,2006,2016,665,45.1,0.144,2.6,17.4,15015,2,5,5,21.4
Marcin Gortat,PHO,2005,2,57,21.137,C-F,,2008,2016,595,48.2,0.151,0.9,11.3,15309,9,3,8,15.3
Uros Slokar,TOR,2005,2,58,22.051,F,,2007,2007,20,0.1,0.042,-7.0,-0.1,72,58,58,58,0
Cenk Akyol,ATL,2005,2,59,18.078,G,,,,,,,,,,59,59,59,0
Alex Acker,DET,2005,2,60,22.164,G,Pepperdine University,2006,2009,30,-0.2,-0.043,-6.9,-0.3,234,60,60,60,0
Andrea Bargnani,TOR,2006,1,1,20.250,F-C,,2007,2016,550,18.9,0.057,-2.2,-0.9,15806,20,27,27,-31.7
LaMarcus Aldridge,CHI,2006,1,2,20.349,F,University of Texas at Austin,2007,2016,722,79.5,0.151,1.2,20.7,25233,6,4,4,-5.9
Adam Morrison,CHA,2006,1,3,21.349,F,Gonzaga University,2007,2010,161,-1.4,-0.021,-5.5,-2.9,3278,34,34,35,-23.8
Tyrus Thomas,POR,2006,1,4,19.320,F,Louisiana State University,2007,2015,402,13.0,0.078,-1.1,1.7,7932,14,20,14,-19.0
Shelden Williams,ATL,2006,1,5,22.256,F,Duke University,2007,2012,361,9.9,0.085,-2.8,-1.2,5586,26,15,30,-17.3
Brandon Roy,MIN,2006,1,6,21.345,G,University of Washington,2007,2013,326,37.4,0.155,3.2,15.2,11561,3,3,6,0.0
Randy Foye,BOS,2006,1,7,22.283,G,Villanova University,2007,2016,683,23.3,0.062,-1.1,4.0,17995,15,24,11,-8.0
Rudy Gay,HOU,2006,1,8,19.320,F,University of Connecticut,2007,2016,723,45.5,0.085,0.5,16.1,25802,10,16,5,5.4
Patrick O'Bryant,GSW,2006,1,9,20.013,C,Bradley University,2007,2010,90,0.5,0.046,-3.1,-0.2,524,36,36,36,-11.0
Mouhamed Sene,SEA,2006,1,10,20.052,F,,2007,2009,47,0.3,0.052,-9.3,-0.5,260,37,37,37,-10.0
J.J. Redick,ORL,2006,1,11,22.009,G,Duke University,2007,2016,612,41.7,0.134,0.1,8.1,14967,11,6,9,4.1
Hilton Armstrong,NOK,2006,1,12,21.234,F-C,University of Connecticut,2007,2014,292,3.9,0.055,-2.8,-0.7,3378,27,29,23,-3.0
Thabo Sefolosha,PHI,2006,1,13,22.062,G-F,,2007,2016,678,31.3,0.096,1.1,12.0,15615,7,13,7,9.8
Ronnie Brewer,UTA,2006,1,14,21.105,G-F,University of Arkansas,2007,2014,502,30.4,0.127,1.7,10.7,11539,5,7,8,9.0
Cedric Simmons,NOK,2006,1,15,20.181,F,North Carolina State University,2007,2009,75,0.1,0.005,-5.7,-0.7,705,38,38,38,-4.5
Rodney Carney,CHI,2006,1,16,22.079,F,University of Memphis,2007,2011,299,6.2,0.064,-2.7,-0.8,4600,25,23,26,-2.4
Shawne Williams,IND,2006,1,17,20.137,F,University of Memphis,2007,2015,314,6.7,0.060,-2.0,0.0,5368,19,25,19,-0.9
Oleksiy Pecherov,WAS,2006,1,18,20.207,C,,2008,2010,111,0.5,0.025,-7.0,-1.3,1044,35,31,31,-1.4
Quincy Douby,SAC,2006,1,19,22.048,G,Rutgers University,2007,2009,143,0.0,0.000,-5.4,-1.3,1535,33,32,32,-1.3
Renaldo Balkman,NYK,2006,1,20,21.354,F,University of South Carolina,2007,2012,221,7.2,0.113,0.9,2.2,3064,9,10,13,2.4
Rajon Rondo,PHO,2006,1,21,20.131,G,University of Kentucky,2007,2016,645,51.2,0.116,1.9,20.9,21202,4,9,3,21.1
Marcus Williams,NJN,2006,1,22,20.212,G,University of Connecticut,2007,2010,203,0.0,-0.001,-4.6,-2.0,3095,31,33,33,-1.4
Josh Boone,NJN,2006,1,23,21.224,F-C,University of Connecticut,2007,2010,256,9.1,0.097,-1.9,0.1,4482,18,12,18,0.8
Kyle Lowry,MEM,2006,1,24,20.100,G,Villanova University,2007,2016,653,59.8,0.145,3.3,26.6,19814,2,5,2,27.3
Shannon Brown,CLE,2006,1,25,20.216,G,Michigan State University,2007,2015,408,9.2,0.060,-2.3,-0.6,7329,21,26,22,0.1
Jordan Farmar,LAL,2006,1,26,19.215,G,University of California Los Angeles,2007,2016,502,13.8,0.068,-1.3,1.6,9805,16,22,15,2.4
Sergio Rodriguez,PHO,2006,1,27,20.021,G,,2007,2010,285,3.6,0.046,-2.9,-0.9,3763,28,30,28,0.0
Maurice Ager,DAL,2006,1,28,22.145,G,Michigan State University,2007,2011,82,-0.9,-0.089,-10.4,-1.1,505,39,39,39,-2.0
Mardy Collins,NYK,2006,1,29,21.333,G,Temple University,2007,2010,189,-1.6,-0.027,-4.9,-2.0,2771,32,35,34,-1.0
Joel Freeland,POR,2006,1,30,19.146,F-C,,2013,2015,151,3.2,0.084,-2.5,-0.2,1821,23,17,20,1.0
James White,POR,2006,2,31,23.256,G-F,University of Cincinnati,2007,2013,67,0.8,0.062,-3.4,-0.2,583,40,40,40,-1.6
Steve Novak,HOU,2006,2,32,23.021,F,Marquette University,2007,2016,459,14.5,0.124,-0.9,1.6,5635,12,8,16,2.9
Solomon Jones,ATL,2006,2,33,21.352,F,University of South Florida,2007,2014,281,5.0,0.078,-2.9,-0.7,3092,29,21,24,1.3
Paul Davis,LAC,2006,2,34,21.347,C,Michigan State University,2007,2010,82,0.5,0.035,-4.7,-0.5,702,41,41,41,-0.9
P.J. Tucker,TOR,2006,2,35,21.059,F,University of Texas at Austin,2007,2016,337,17.5,0.089,1.0,7.1,9406,8,14,10,10.0
Craig Smith,MIN,2006,2,36,22.236,F,Boston College,2007,2012,403,16.0,0.113,-1.5,0.9,6826,17,11,17,3.8
Bobby Jones,MIN,2006,2,37,22.176,F,University of Washington,2007,2008,91,1.1,0.060,-3.5,-0.3,867,42,42,42,0
Kosta Perovic,GSW,2006,2,38,21.134,C,,2008,2008,7,0.0,0.060,-6.7,0.0,38,43,43,43,0
David Noel,MIL,2006,2,39,22.127,F,University of North Carolina,2007,2007,68,0.4,0.024,-3.4,-0.3,792,44,44,44,0
Denham Brown,SEA,2006,2,40,,,University of Connecticut,,,,,,,,,45,45,45,0
James Augustine,ORL,2006,2,41,22.127,F,University of Illinois at Urbana-Champaign,2007,2008,27,0.3,0.101,-2.2,0.0,156,46,46,46,0
Daniel Gibson,CLE,2006,2,42,20.126,G,University of Texas at Austin,2007,2013,397,16.0,0.082,-1.0,2.3,9316,13,18,12,5.2
Marcus Vinicius,NOK,2006,2,43,22.033,F,,2007,2008,26,0.2,0.056,-3.6,-0.1,172,47,47,47,0
Lior Eliyahu,ORL,2006,2,44,20.297,F,,,,,,,,,,48,48,48,0
Alexander Johnson,IND,2006,2,45,23.146,F,Florida State University,2007,2008,102,1.5,0.056,-4.3,-0.7,1302,30,28,25,2.2
Dee Brown,UTA,2006,2,46,21.320,G,University of Illinois at Urbana-Champaign,2007,2009,68,0.1,0.008,-4.1,-0.4,711,49,49,49,0
Paul Millsap,UTA,2006,2,47,21.143,F,Louisiana Tech University,2007,2016,768,73.1,0.157,3.5,30.8,22340,1,2,1,33.7
Vladimir Veremeenko,WAS,2006,2,48,21.347,F,,,,,,,,,,50,50,50,0
Leon Powe,DEN,2006,2,49,22.163,F,University of California,2007,2011,239,12.0,0.174,-2.3,-0.2,3320,22,1,21,2.7
Ryan Hollins,CHA,2006,2,50,21.266,C,University of California Los Angeles,2007,2016,518,10.4,0.081,-2.6,-1.0,6134,24,19,29,1.9
Cheikh Samb,LAL,2006,2,51,21.254,C,,2008,2009,22,-0.1,-0.056,-9.2,-0.2,114,51,51,51,0
Guillermo Diaz,LAC,2006,2,52,21.121,G,University of Miami,2008,2008,6,0.0,0.033,-5.9,0.0,18,52,52,52,0
Yotam Halperin,SEA,2006,2,53,22.161,G,,,,,,,,,,53,53,53,0
Hassan Adams,NJN,2006,2,54,22.013,G,University of Arizona,2007,2009,73,0.8,0.072,-4.4,-0.3,547,54,54,54,0
Ejike Ugboaja,CLE,2006,2,55,21.036,F,,,,,,,,,,55,55,55,0
Edin Bavcic,TOR,2006,2,56,22.028,C-F,,,,,,,,,,56,56,56,0
Loukas Mavrokefalidis,MIN,2006,2,57,,,,,,,,,,,,57,57,57,0
J.R. Pinnock,DAL,2006,2,58,,,George Washington University,,,,,,,,,58,58,58,0
Damir Markota,SAS,2006,2,59,20.189,C,,2007,2007,30,-0.2,-0.070,-9.0,-0.3,170,59,59,59,0
Will Blalock,DET,2006,2,60,22.299,G,Iowa State University,2007,2007,14,-0.1,-0.032,-5.7,-0.2,166,60,60,60,0
Greg Oden,POR,2007,1,1,19.162,C,Ohio State University,2009,2014,105,7.3,0.174,1.1,1.6,2028,10,4,19,-40.1
Kevin Durant,SEA,2007,1,2,18.276,F-G,University of Texas at Austin,2008,2016,641,107.9,0.214,4.8,41.7,24208,1,1,1,14.5
Al Horford,ATL,2007,1,3,21.030,F-C,University of Florida,2008,2016,578,64.2,0.159,3.0,24.4,19342,4,6,4,-2.3
Mike Conley,MEM,2007,1,4,19.265,G,Ohio State University,2008,2016,637,52.8,0.123,1.5,18.0,20693,8,9,5,-6.4
Jeff Green,BOS,2007,1,5,20.309,F,Georgetown University,2008,2016,636,32.0,0.075,-1.0,4.9,20360,17,19,13,-13.1
Yi Jianlian,MIL,2007,1,6,19.249,F,,2008,2012,272,3.1,0.025,-4.7,-4.1,6038,34,34,34,-18.3
Corey Brewer,MIN,2007,1,7,21.120,F-G,University of Florida,2008,2016,629,18.0,0.055,-0.9,4.4,15757,16,27,16,-7.3
Brandan Wright,CHA,2007,1,8,19.271,F,University of North Carolina,2008,2016,372,23.3,0.183,1.7,5.7,6121,7,2,11,-1.1
Joakim Noah,CHI,2007,1,9,22.128,C,University of Florida,2008,2016,572,57.3,0.163,4.3,26.7,16848,2,5,3,20.5
